ts,open,high,low,close,volume,dt_utc
1742083200,1937.18,1940.87,1916.56,1927.52,,2025-03-16 00:00:00+00:00
1742097600,1927.52,1934.0,1921.53,1925.89,,2025-03-16 04:00:00+00:00
1742112000,1925.89,1926.92,1866.9,1874.0,,2025-03-16 08:00:00+00:00
1742126400,1874.01,1898.33,1873.42,1895.01,,2025-03-16 12:00:00+00:00
1742140800,1895.01,1924.11,1860.38,1882.74,,2025-03-16 16:00:00+00:00
1742155200,1882.73,1898.63,1870.1,1887.0,,2025-03-16 20:00:00+00:00
1742169600,1887.01,1915.44,1886.36,1908.85,,2025-03-17 00:00:00+00:00
1742184000,1908.85,1912.99,1879.98,1900.74,,2025-03-17 04:00:00+00:00
1742198400,1900.75,1918.42,1893.0,1910.59,,2025-03-17 08:00:00+00:00
1742212800,1910.58,1939.03,1888.01,1919.47,,2025-03-17 12:00:00+00:00
1742227200,1919.47,1952.4,1907.74,1942.23,,2025-03-17 16:00:00+00:00
1742241600,1942.22,1949.5,1922.2,1926.31,,2025-03-17 20:00:00+00:00
1742256000,1926.3,1930.25,1897.47,1901.17,,2025-03-18 00:00:00+00:00
1742270400,1901.17,1910.41,1893.86,1905.06,,2025-03-18 04:00:00+00:00
1742284800,1905.05,1913.09,1885.58,1892.43,,2025-03-18 08:00:00+00:00
1742299200,1892.42,1903.2,1872.31,1881.02,,2025-03-18 12:00:00+00:00
1742313600,1881.03,1908.39,1873.6,1904.57,,2025-03-18 16:00:00+00:00
1742328000,1904.57,1936.2,1898.65,1931.54,,2025-03-18 20:00:00+00:00
1742342400,1931.54,1949.03,1927.58,1938.33,,2025-03-19 00:00:00+00:00
1742356800,1938.33,1943.14,1930.3,1932.0,,2025-03-19 04:00:00+00:00
1742371200,1932.0,2033.79,1931.7,2027.99,,2025-03-19 08:00:00+00:00
1742385600,2028.0,2056.99,1994.65,2048.99,,2025-03-19 12:00:00+00:00
1742400000,2049.0,2064.91,1997.33,2031.06,,2025-03-19 16:00:00+00:00
1742414400,2031.07,2069.9,2028.58,2056.06,,2025-03-19 20:00:00+00:00
1742428800,2056.05,2067.9,2020.41,2022.75,,2025-03-20 00:00:00+00:00
1742443200,2022.75,2025.6,2005.2,2007.54,,2025-03-20 04:00:00+00:00
1742457600,2007.55,2021.27,1972.4,1989.08,,2025-03-20 08:00:00+00:00
1742472000,1989.09,2010.66,1965.85,1972.17,,2025-03-20 12:00:00+00:00
1742486400,1972.01,1980.26,1952.17,1974.75,,2025-03-20 16:00:00+00:00
1742500800,1974.76,1984.88,1971.33,1983.79,,2025-03-20 20:00:00+00:00
1742515200,1983.79,1996.73,1973.0,1978.17,,2025-03-21 00:00:00+00:00
1742529600,1978.16,1989.95,1966.52,1976.78,,2025-03-21 04:00:00+00:00
1742544000,1976.79,1982.33,1956.6,1966.81,,2025-03-21 08:00:00+00:00
1742558400,1966.81,1973.99,1937.1,1950.69,,2025-03-21 12:00:00+00:00
1742572800,1950.69,1977.9,1946.07,1973.93,,2025-03-21 16:00:00+00:00
1742587200,1973.92,1983.4,1962.62,1965.75,,2025-03-21 20:00:00+00:00
1742601600,1965.74,1987.23,1964.34,1986.04,,2025-03-22 00:00:00+00:00
1742616000,1986.07,1993.1,1983.23,1984.23,,2025-03-22 04:00:00+00:00
1742630400,1984.22,2006.61,1981.68,1990.41,,2025-03-22 08:00:00+00:00
1742644800,1990.41,1997.75,1981.12,1986.29,,2025-03-22 12:00:00+00:00
1742659200,1986.29,2000.0,1982.52,1995.94,,2025-03-22 16:00:00+00:00
1742673600,1995.95,2004.3,1974.78,1980.69,,2025-03-22 20:00:00+00:00
1742688000,1980.68,2008.73,1976.81,2008.31,,2025-03-23 00:00:00+00:00
1742702400,2008.32,2019.8,1992.08,2008.04,,2025-03-23 04:00:00+00:00
1742716800,2008.04,2020.74,2002.9,2008.01,,2025-03-23 08:00:00+00:00
1742731200,2008.01,2020.2,2002.52,2007.06,,2025-03-23 12:00:00+00:00
1742745600,2007.06,2008.23,1987.5,1996.3,,2025-03-23 16:00:00+00:00
1742760000,1996.3,2006.68,1980.77,2005.99,,2025-03-23 20:00:00+00:00
1742774400,2005.99,2021.39,1977.67,2014.48,,2025-03-24 00:00:00+00:00
1742788800,2014.49,2079.58,2014.49,2069.16,,2025-03-24 04:00:00+00:00
1742803200,2069.18,2104.11,2068.77,2092.77,,2025-03-24 08:00:00+00:00
1742817600,2092.77,2102.49,2073.47,2089.77,,2025-03-24 12:00:00+00:00
1742832000,2089.76,2101.3,2067.67,2088.71,,2025-03-24 16:00:00+00:00
1742846400,2088.71,2095.41,2068.33,2081.2,,2025-03-24 20:00:00+00:00
1742860800,2081.2,2097.7,2041.83,2043.26,,2025-03-25 00:00:00+00:00
1742875200,2043.25,2066.98,2037.08,2055.55,,2025-03-25 04:00:00+00:00
1742889600,2055.56,2075.36,2052.44,2068.68,,2025-03-25 08:00:00+00:00
1742904000,2068.68,2080.4,2051.88,2067.67,,2025-03-25 12:00:00+00:00
1742918400,2067.67,2083.52,2056.51,2075.64,,2025-03-25 16:00:00+00:00
1742932800,2075.64,2082.99,2053.85,2066.15,,2025-03-25 20:00:00+00:00
1742947200,2066.16,2079.21,2042.6,2049.07,,2025-03-26 00:00:00+00:00
1742961600,2049.06,2071.4,2047.55,2069.25,,2025-03-26 04:00:00+00:00
1742976000,2069.26,2075.76,2057.6,2068.51,,2025-03-26 08:00:00+00:00
1742990400,2068.52,2070.52,2006.66,2012.27,,2025-03-26 12:00:00+00:00
1743004800,2012.27,2022.13,1981.6,1999.92,,2025-03-26 16:00:00+00:00
1743019200,1999.91,2017.92,1991.85,2009.52,,2025-03-26 20:00:00+00:00
1743033600,2009.52,2037.38,2006.78,2031.32,,2025-03-27 00:00:00+00:00
1743048000,2031.32,2032.87,2020.95,2026.43,,2025-03-27 04:00:00+00:00
1743062400,2026.42,2035.92,2012.21,2016.21,,2025-03-27 08:00:00+00:00
1743076800,2016.21,2026.32,1987.06,2005.49,,2025-03-27 12:00:00+00:00
1743091200,2005.48,2015.16,1993.65,2004.08,,2025-03-27 16:00:00+00:00
1743105600,2004.13,2020.0,1999.68,2003.66,,2025-03-27 20:00:00+00:00
1743120000,2003.67,2015.93,1991.63,1999.84,,2025-03-28 00:00:00+00:00
1743134400,1999.84,2004.7,1900.0,1910.21,,2025-03-28 04:00:00+00:00
1743148800,1910.21,1925.0,1860.0,1900.48,,2025-03-28 08:00:00+00:00
1743163200,1900.47,1903.87,1871.58,1872.13,,2025-03-28 12:00:00+00:00
1743177600,1872.13,1887.28,1862.14,1874.16,,2025-03-28 16:00:00+00:00
1743192000,1874.17,1902.0,1873.75,1896.9,,2025-03-28 20:00:00+00:00
1743206400,1896.9,1913.6,1886.27,1899.83,,2025-03-29 00:00:00+00:00
1743220800,1899.84,1904.96,1875.41,1880.14,,2025-03-29 04:00:00+00:00
1743235200,1880.14,1887.28,1833.5,1844.55,,2025-03-29 08:00:00+00:00
1743249600,1844.55,1863.75,1833.84,1840.24,,2025-03-29 12:00:00+00:00
1743264000,1840.24,1848.12,1797.2,1827.5,,2025-03-29 16:00:00+00:00
1743278400,1827.5,1830.31,1811.6,1828.08,,2025-03-29 20:00:00+00:00
1743292800,1828.09,1844.59,1812.69,1834.39,,2025-03-30 00:00:00+00:00
1743307200,1834.39,1846.85,1832.56,1837.74,,2025-03-30 04:00:00+00:00
1743321600,1837.74,1849.01,1826.49,1833.27,,2025-03-30 08:00:00+00:00
1743336000,1833.28,1839.71,1790.06,1813.75,,2025-03-30 12:00:00+00:00
1743350400,1813.76,1834.33,1785.41,1814.22,,2025-03-30 16:00:00+00:00
1743364800,1814.22,1821.68,1767.69,1807.74,,2025-03-30 20:00:00+00:00
